beta channel, neutron ToF, beta_time (s)
2, 121.892, 0.00169227
2, 207.482, 0.0165348
3, 252.137, 0.0200221
3, 1053.797, 0.050164
3, 180.844, 0.050164
3, 198.779, 0.0554619
3, 173.783, 0.0635489
3, 168.902, 0.0635489
3, 230.700, 0.0657905
2, 180.963, 0.0988866
2, 562.887, 0.110526
3, 129.851, 0.111074
3, 174.862, 0.114992
2, 153.747, 0.122476
2, 395.577, 0.126443
2, 371.630, 0.126443
2, 371.346, 0.126443
3, 251.480, 0.138238
2, 178.574, 0.152858
3, 226.103, 0.156341
3, 241.194, 0.159117
2, 175.799, 0.171514
3, 254.721, 0.17669
3, 526.734, 0.207657
3, 126.116, 0.21991
3, 168.679, 0.222935
2, 254.043, 0.246114
3, 245.966, 0.247679
2, 175.591, 0.249885
3, 313.757, 0.269619
3, 153.865, 0.291129
2, 160.542, 0.318235
3, 190.052, 0.322362
2, 172.316, 0.335439
3, 270.170, 0.340383
2, 236.085, 0.359201
3, 199.919,  0.3919
3, 182.132, 0.405355
3, 210.642, 0.415568
2, 261.389,  0.4187
2, 177.258, 0.437235
3, 242.612, 0.462021
2, 101.821, 0.480287
3, 485.565, 0.485323
2, 224.757, 0.485681
2, 170.700, 0.48653
2, 175.186, 0.496604
3, 221.145, 0.498267
2, 388.340, 0.503055
2, 529.931, 0.503055
3, 388.340, 0.503055
3, 529.931, 0.503055
2, 196.905, 0.524295
3, 116.710, 0.535881
3, 370.834, 0.547508
3, 119.314, 0.562638
2, 509.534, 0.565926
2, 511.581, 0.565926
2, 183.427, 0.567312
2, 208.912, 0.569481
3, 160.189, 0.586372
2, 173.300, 0.601466
2, 588.375, 0.611422
2, 186.136, 0.647989
2, 120.151, 0.652145
2, 125.585, 0.671736
2, 103.315, 0.671736
2, 177.447, 0.684014
2, 172.259, 0.684014
2, 166.693, 0.685596
3, 171.871, 0.697138
3, 264.850, 0.724296
2, 355.622, 0.736701
3, 189.646, 0.747596
2, 456.574, 0.770599
3, 174.803, 0.775762
3, 115.251, 0.796822
2, 123.922, 0.800798
2, 117.431, 0.800798
2, 120.141, 0.800798
2,  96.979, 0.800798
3, 208.025, 0.808492
2, 180.884, 0.80931
3, 186.916, 0.81118
2, 286.850, 0.842315
