beta channel, neutron ToF, beta_time (s)
2, 206.775, 0.0106281
3, 332.478, 0.0109524
3, 166.030, 0.0182193
3, 252.453, 0.0221745
2, 185.905, 0.0476156
3, 170.462, 0.0486821
3, 201.334, 0.0543458
2, 112.419, 0.0567424
3, 412.527, 0.0744473
3, 217.059, 0.0760953
2, 143.647, 0.0928216
3, 143.647, 0.0928219
2, 141.216, 0.0980114
2, 139.603, 0.0980114
2, 190.203, 0.0981478
2, 204.181, 0.117667
2, 258.815, 0.118087
2, 256.414, 0.118087
3, 258.815, 0.118087
3, 256.414, 0.118087
2, 187.102, 0.127619
3, 261.256, 0.133585
2, 140.534, 0.137573
2, 123.485, 0.14116
2, 249.838, 0.161147
2, 200.741, 0.164607
2, 211.659, 0.164607
3, 240.819, 0.171926
2, 213.066, 0.176512
3, 298.906, 0.179886
3, 267.456, 0.229659
3, 239.852, 0.233672
2, 356.656, 0.257934
3, 119.368, 0.275918
3, 264.539, 0.277223
3, 146.519, 0.290758
3, 254.643, 0.312139
2, 230.897, 0.332383
3, 298.762, 0.339027
3, 199.754, 0.342096
3, 574.389, 0.343344
2, 141.657, 0.390445
2, 314.830, 0.437448
3, 484.975, 0.437484
3, 116.217, 0.439885
2, 117.906, 0.441478
3, 238.381, 0.447589
2, 218.763, 0.470106
2, 199.939, 0.473113
2, 141.297, 0.476331
3, 211.793, 0.483276
2, 136.411, 0.497852
3, 233.840, 0.514163
3, 203.278, 0.527765
2, 367.312, 0.530133
3, 229.920, 0.622221
2, 140.506, 0.627845
3, 146.758, 0.634958
2, 206.902, 0.67644
3, 121.282, 0.707636
3, 302.181, 0.716305
2, 154.182, 0.719773
2, 249.279, 0.734235
2, 203.216, 0.742839
3, 146.169, 0.776937
2, 198.581, 0.784015
2, 119.778, 0.816491
3, 214.614, 0.816968
3, 146.186, 0.833281
3, 142.025, 0.833281
3, 243.083, 0.842507
3, 283.603, 0.842963
3, 278.972, 0.842963
2, 199.264, 0.868827
3, 202.273, 0.888252
3, 292.981, 0.908754
2, 302.140, 0.929557
3, 255.300, 0.936359
2, 257.063, 0.961381
2, 233.902, 0.961381
3, 583.807, 0.967595
2, 176.075, 0.973568
3, 180.710, 0.982407
3, 180.256, 0.986054
3, 145.004, 0.992134
3, 117.737, 0.998155
3, 192.131, 1.01116
2, 226.435, 1.02659
2, 234.482, 1.04358
3, 508.038, 1.06099
3, 179.342, 1.14153
2, 141.615, 1.14397
3, 187.365, 1.15827
3, 119.402, 1.20978
3, 176.111, 1.22335
2, 350.000, 1.23318
2, 228.066, 1.24616
3, 171.633, 1.26152
2, 122.745, 1.26803
2, 189.824, 1.27091
2, 121.478, 1.30052
3, 241.595, 1.31316
2, 138.530, 1.31814
2, 198.483, 1.32604
3, 123.509, 1.34495
3, 210.686, 1.35384
2, 177.064, 1.35409
3, 222.341, 1.37149
2, 255.240, 1.37378
2, 119.772, 1.40663
3, 443.413, 1.52002
3, 146.803, 1.54471
3, 144.812, 1.54471
3, 215.776, 1.54944
3, 149.434, 1.59696
3, 184.198, 1.63289
3, 546.810, 1.63945
3, 119.850, 1.63991
3, 303.173, 1.67912
2, 148.950, 1.80942
2, 131.122, 1.80942
3, 199.531, 1.84453
3, 198.733, 1.85676
2, 178.552, 1.85883
2, 201.283, 1.89989
2, 118.133,  2.0243
3, 120.626, 2.07099
3, 172.909, 2.08096
2, 138.357, 2.11165
3, 300.602, 2.12226
3, 243.026, 2.13876
3, 119.466, 2.15699
3, 289.216, 2.16537
3, 124.938,  2.2125
3, 328.758, 2.22539
2, 136.320, 2.22976
2, 195.927, 2.23409
2, 199.068, 2.23409
3, 195.927, 2.23409
3, 199.068, 2.23409
3, 384.808, 2.23878
2, 353.312, 2.26179
3, 246.714, 2.30499
2, 398.494,  2.3597
2, 222.624, 2.38869
2, 180.172,  2.3989
3, 119.306, 2.42656
2, 209.316, 2.43962
3, 135.521,  2.4791
3, 221.640, 2.49573
2, 138.517, 2.50114
2, 118.444, 2.55467
3, 175.975, 2.74846
3, 199.710, 2.80634
3, 136.546,   2.841
2, 139.555, 2.87976
3, 261.459, 2.89209
2, 180.333, 2.99231
2, 364.824, 3.03958
3, 228.938, 3.10131
2, 126.942, 3.19663
3, 239.563,  3.2042
3, 234.845, 3.20612
3, 211.721,  3.2152
3, 145.076, 3.28041
3, 145.822, 3.28041
3, 176.853, 3.31243
3, 198.020,  3.4816
3, 234.583, 3.56431
3, 225.272, 3.56431
2, 136.616, 3.64132
2, 137.203, 3.64132
2, 106.383, 3.77666
3, 187.955,  3.8489
2, 497.598, 3.95671
2, 430.500,  4.2269
2, 404.929,  4.2269
3, 178.116, 4.28744
2, 257.039, 4.36648
3, 132.671, 4.43853
3, 142.558, 4.46382
2, 133.014, 4.63837
2, 298.512,  4.7955
2, 565.419, 4.80621
2, 568.564, 4.80621
3, 565.419, 4.80621
3, 568.564, 4.80621
2, 499.045, 4.81833
3, 189.118, 4.85299
3, 188.769, 4.85457
2, 290.523, 4.88433
3, 290.523, 4.88433
2, 213.119, 4.89439
2, 214.288, 4.89439
3, 213.119, 4.89439
3, 214.288, 4.89439
3, 215.366, 4.91044
2, 138.120, 4.91799
2, 140.692, 4.92491
3, 206.574,  4.9252
3, 441.223, 4.92777
3, 126.334, 4.93201
2, 257.083, 4.93725
3, 181.028,   4.941
3, 178.628, 4.94511
2, 143.635, 4.94867
2, 196.297, 4.95879
2, 623.265, 4.96177
2, 192.713, 4.96921
2, 119.896, 4.97082
2, 289.022, 4.97435
3, 289.022, 4.97435
2, 224.337, 4.97754
2, 225.821, 4.98119
2, 231.836, 4.98212
3, 329.739, 4.98896
3, 171.408, 4.99085
2, 186.905, 4.99561
2, 142.970, 5.00072
2, 311.979, 5.00358
3, 311.979, 5.00358
3, 200.781, 5.00734
3, 139.063, 5.00895
2, 164.004, 5.01033
2, 254.179, 5.01689
2, 253.896, 5.01689
