beta channel, neutron ToF, beta_time (s)
2, 114.312, 0.0360495
2, 144.844, 0.400292
2, 265.055, 0.401564
3, 145.547, 0.507537
3, 147.969, 0.507537
3, 136.516, 0.525295
3, 142.492, 0.525295
2, 236.484, 0.538242
3, 122.430, 0.812357
3, 119.023, 0.812357
3, 142.852,  1.2707
3, 120.805, 1.38993
2, 114.883, 1.94282
2, 608.922, 2.11466
2, 132.398, 2.53334
2, 714.906, 2.71247
2, 714.828, 2.71247
3, 714.906, 2.71247
3, 714.828, 2.71247
3, 283.469, 2.85275
2, 132.945, 2.85622
2, 195.344, 2.85687
3, 138.414, 2.87372
2, 140.969,  2.8808
2, 478.625,   2.891
2, 174.898, 2.89208
3, 251.922, 2.91592
2, 198.992, 2.92569
2, 199.828, 2.92569
3, 253.398, 2.92958
3, 250.320, 2.94071
3, 222.422, 2.95139
2, 237.930, 2.95798
3, 143.672, 2.96071
3, 146.664, 2.96071
2, 174.750, 2.96196
3, 205.133, 2.96306
3, 188.562, 2.96401
2, 175.242, 2.97904
2, 181.938,  2.9826
2, 326.891, 2.99129
2, 197.852, 2.99129
3, 326.891, 2.99129
3, 197.852, 2.99129
2, 359.742, 3.00794
3, 238.234, 3.01036
3, 245.648,  3.0169
3, 191.750, 3.02251
3, 186.086, 3.02317
3, 236.961, 3.02841
2, 236.344, 3.03645
3, 178.922, 3.03678
2, 180.156, 3.05191
3, 178.680, 3.05945
2, 349.766, 3.06374
2, 231.125, 3.07015
2, 322.602, 3.08317
3, 202.562, 3.08726
3, 250.945, 3.09725
3, 128.836, 3.09801
2, -138.586, 3.10314
2, 353.477, 3.10314
3, -138.586, 3.10314
3, 353.477, 3.10314
3, 177.039, 3.10519
2, 187.664,  3.1159
2, 136.703, 3.11702
2, 249.633, 3.12556
2, 133.766, 3.12758
3, 195.008, 3.13381
2, 210.523, 3.13837
2, 209.898, 3.13837
3, 140.828, 3.14124
3, 235.430, 3.14675
3, 216.680, 3.15393
3, 141.242,  3.1576
3, 253.898, 3.15792
2, 269.242, 3.15995
3, 205.586,  3.1658
3, 180.711, 3.17042
2,   7.445, 3.17209
3,   7.445, 3.17209
2, 132.859, 3.17346
3, 173.461, 3.17385
2, 191.008, 3.17421
3, 241.055, 3.17439
3, 146.469, 3.18216
2, 288.000, 3.18947
2, 195.469, 3.19541
2, 155.117, 3.19797
3, 189.320, 3.19882
3, 444.297, 3.20187
3, 240.625, 3.20827
2, 174.867, 3.20947
2, 250.273, 3.21004
2, 215.328, 3.21834
3, 197.016, 3.22353
3, 350.469, 3.22371
2, 192.820, 3.23063
2, 246.852, 3.23603
2, 193.648, 3.23603
3, 330.031, 3.24636
3, 236.094, 3.25296
2, 196.727, 3.25391
3, 123.648, 3.25392
2, 155.820, 3.25419
2, 157.125, 3.25419
2, 277.562, 3.25419
3, 175.297, 3.25486
3, 334.523, 3.25751
2, 138.289,  3.2622
2, 134.164,  3.2622
2, 193.727,  3.2757
2, 202.820, 3.27916
2, 207.445, 3.28332
3, 207.445, 3.28332
2, 187.859, 3.28427
3, 124.867, 3.29018
3, 200.656, 3.29806
2, 262.961, 3.30668
3, 229.516, 3.30838
2, 233.641, 3.31005
2, 324.602, 3.31658
3, 193.516, 3.32406
3, 258.945,  3.3355
3, 198.039, 3.33992
3, 145.391, 3.34319
3, 197.727, 3.35401
2, 197.516, 3.35445
3, 190.281, 3.35472
2, 234.133,  3.3557
3, 147.836, 3.35981
3, 326.766, 3.36731
3, 440.500, 3.36842
3, 417.750, 3.36842
2, 252.148, 3.38338
2, 139.281, 3.38491
2, 230.289, 3.38634
2, 258.914, 3.38725
3, 242.727, 3.38744
3, 200.562, 3.40642
3, 198.031, 3.40798
2, 199.469, 3.40843
2, 202.523, 3.40898
3, 331.648, 3.41174
3, 196.734, 3.41621
2, 331.906, 3.42607
3, 280.945, 3.42732
3, 209.086, 3.43715
2, 515.859, 3.43722
3, 276.602, 3.44769
3, 220.195, 3.44989
2, 199.750, 3.46796
2, 243.672, 3.47262
2, 418.969, 3.47683
2, 184.242, 3.47816
3, 204.086,  3.4856
3, 236.602, 3.48629
3, 194.875, 3.48755
2, 218.539, 3.48975
3, 374.062, 3.49254
2, 199.719, 3.49825
3, 293.180, 3.50438
3, 205.906, 3.50866
2, 277.508, 3.50938
2, 118.812, 3.51364
3, 201.820, 3.51589
2, 228.148, 3.51601
2, 188.789, 3.52326
2, 215.727, 3.53631
2, 202.266, 3.53631
2, 238.922, 3.53916
3, 200.047, 3.54104
2, 659.008, 3.54173
3, 659.008, 3.54173
2, 199.047, 3.54988
2, 276.820, 3.55009
2, 201.258, 3.55027
3, 238.453, 3.55029
3, 267.484, 3.55185
3, 243.438, 3.55216
2, 198.469,  3.5622
3, 205.047, 3.56284
2, 207.938, 3.56514
3, 177.883, 3.56923
3, 195.406, 3.57265
2, 149.828, 3.57404
2, 202.258,  3.5816
3, 210.367, 3.59466
3, 179.375, 3.60177
3, 192.750,  3.6044
3, 184.570,  3.6044
2, 278.883, 3.60489
3, 197.211, 3.61631
2, 588.641, 3.61651
2, 592.695, 3.61651
2, 242.141, 3.61939
2, 255.531, 3.61939
3, 142.398, 3.62584
2, 236.000, 3.62948
3, 217.156, 3.62977
3, 380.977, 3.63912
2, 197.102,  3.6408
2, 200.242, 3.64127
2, 202.711, 3.64223
2, 146.594, 3.64279
2, 169.852,  3.6516
3, 211.055, 3.65264
3, 179.758, 3.65925
2, 246.508, 3.66227
3, 478.164,  3.6628
2, 229.195, 3.66715
3, 229.195, 3.66715
2, 211.789, 3.67262
3, 179.883, 3.67651
3, 230.906, 3.68127
3, 237.695, 3.68192
3, 215.461,  3.6839
2, 255.125, 3.69291
2, 144.344, 3.69989
2, 243.469, 3.70284
3, 241.789, 3.70411
3, 199.914, 3.71161
2, 272.648,  3.7276
3, 212.992, 3.72965
3, 457.648, 3.74068
2, 165.453, 3.74313
2, 490.422, 3.75011
3, 256.766, 3.75185
2, 187.398, 3.75762
2, 223.070, 3.76386
3, 231.117, 3.76746
2, 204.680,  3.7677
2, 198.125,  3.7696
2, 119.375, 3.77384
3, 172.062, 3.77422
2, 186.430, 3.80174
3, 253.188, 3.80539
3, 265.328, 3.81566
3, 214.578, 3.82187
3, 143.438, 3.83182
2, 150.695, 3.84289
3, 331.156, 3.84521
2, 163.008, 3.84807
3, 260.750,   3.849
2, 206.273, 3.85128
2, 202.672, 3.85152
